PS C:\PseudoFFSwin> & C:\Users\CSE-AI-Lab\AppData\Local\Programs\Python\Python311\python.exe c:/PseudoFFSwin/train_classification.py
🚀 Training Classifier on cuda...
✅ Balanced Training Samples: 2226
✅ Real Validation Samples:  857
Starting Training Loop...
Current Learning Rate: 5e-05
			
Ep 1/100 | Loss: 1.1088 | Train Acc: 36.2% | Val Acc: 71.5%
Ep 2/100 | Loss: 1.0934 | Train Acc: 37.7% | Val Acc: 78.5%
Ep 3/100 | Loss: 1.0857 | Train Acc: 40.7% | Val Acc: 7.8%
Ep 4/100 | Loss: 1.0721 | Train Acc: 41.2% | Val Acc: 51.0%
Ep 5/100 | Loss: 1.0549 | Train Acc: 44.5% | Val Acc: 70.8%
Ep 6/100 | Loss: 1.0189 | Train Acc: 48.3% | Val Acc: 58.5%
Ep 7/100 | Loss: 0.9791 | Train Acc: 52.5% | Val Acc: 57.2%
Ep 8/100 | Loss: 0.9305 | Train Acc: 57.1% | Val Acc: 53.7%
Ep 9/100 | Loss: 0.9032 | Train Acc: 58.1% | Val Acc: 44.9%
Ep 10/100 | Loss: 0.8602 | Train Acc: 60.7% | Val Acc: 41.7%
Ep 11/100 | Loss: 0.8387 | Train Acc: 61.7% | Val Acc: 61.3%
Ep 12/100 | Loss: 0.8285 | Train Acc: 64.2% | Val Acc: 72.6%
Ep 13/100 | Loss: 0.8046 | Train Acc: 66.6% | Val Acc: 55.1%
Ep 14/100 | Loss: 0.7578 | Train Acc: 68.6% | Val Acc: 53.3%
Ep 15/100 | Loss: 0.7377 | Train Acc: 71.0% | Val Acc: 74.9%
Ep 16/100 | Loss: 0.7101 | Train Acc: 72.1% | Val Acc: 65.8%
Ep 17/100 | Loss: 0.6840 | Train Acc: 73.4% | Val Acc: 83.0%
Ep 18/100 | Loss: 0.6647 | Train Acc: 74.3% | Val Acc: 75.7%
Ep 19/100 | Loss: 0.6429 | Train Acc: 75.7% | Val Acc: 67.8%
Ep 20/100 | Loss: 0.6121 | Train Acc: 76.7% | Val Acc: 72.5%
Ep 21/100 | Loss: 0.5951 | Train Acc: 78.7% | Val Acc: 81.9%
Ep 22/100 | Loss: 0.5694 | Train Acc: 79.5% | Val Acc: 76.9%
Ep 23/100 | Loss: 0.5530 | Train Acc: 79.6% | Val Acc: 82.0%
Ep 24/100 | Loss: 0.5241 | Train Acc: 81.2% | Val Acc: 81.3%
Ep 25/100 | Loss: 0.5139 | Train Acc: 82.1% | Val Acc: 76.7%
Ep 26/100 | Loss: 0.4667 | Train Acc: 83.2% | Val Acc: 54.4%
Ep 27/100 | Loss: 0.4614 | Train Acc: 84.0% | Val Acc: 74.7%
Ep 28/100 | Loss: 0.4448 | Train Acc: 83.8% | Val Acc: 78.8%
Ep 29/100 | Loss: 0.4207 | Train Acc: 85.4% | Val Acc: 87.0%
Ep 30/100 | Loss: 0.4087 | Train Acc: 86.2% | Val Acc: 89.0%
Ep 31/100 | Loss: 0.3733 | Train Acc: 87.5% | Val Acc: 91.9%
Ep 32/100 | Loss: 0.3517 | Train Acc: 88.7% | Val Acc: 81.6%
Ep 33/100 | Loss: 0.3531 | Train Acc: 88.9% | Val Acc: 89.1%
Ep 34/100 | Loss: 0.3207 | Train Acc: 90.0% | Val Acc: 76.2%
Ep 35/100 | Loss: 0.3147 | Train Acc: 90.1% | Val Acc: 87.6%
Ep 36/100 | Loss: 0.2819 | Train Acc: 92.4% | Val Acc: 92.6%
Ep 37/100 | Loss: 0.2776 | Train Acc: 92.6% | Val Acc: 89.7%
Ep 38/100 | Loss: 0.2596 | Train Acc: 92.7% | Val Acc: 92.2%
Ep 39/100 | Loss: 0.2490 | Train Acc: 92.6% | Val Acc: 82.8%
Ep 40/100 | Loss: 0.2387 | Train Acc: 93.8% | Val Acc: 90.7%
Ep 41/100 | Loss: 0.2303 | Train Acc: 93.8% | Val Acc: 92.9%
Ep 42/100 | Loss: 0.2115 | Train Acc: 94.4% | Val Acc: 95.6%
Ep 43/100 | Loss: 0.2044 | Train Acc: 93.8% | Val Acc: 94.9%
Ep 44/100 | Loss: 0.1783 | Train Acc: 95.9% | Val Acc: 93.2%
Ep 45/100 | Loss: 0.1813 | Train Acc: 95.4% | Val Acc: 90.5%
Ep 46/100 | Loss: 0.1701 | Train Acc: 95.4% | Val Acc: 88.3%
Ep 47/100 | Loss: 0.1744 | Train Acc: 95.3% | Val Acc: 97.1%
Ep 48/100 | Loss: 0.1465 | Train Acc: 96.5% | Val Acc: 95.1%
